2026-04-06T12:22:10 | INFO     | CAM-D3               | Sensor iniciado | intersección=INT-D3 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-D3               | [Publicado] vol= 20 veh | vel= 18.3 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-D3               | [Publicado] vol= 21 veh | vel= 21.1 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-D3               | [Publicado] vol= 10 veh | vel= 33.8 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-D3               | [Publicado] vol= 18 veh | vel= 22.5 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-D3               | [Publicado] vol=  3 veh | vel= 45.8 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-D3               | [Publicado] vol=  2 veh | vel= 43.1 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-D3               | [Publicado] vol=  4 veh | vel= 49.1 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-D3               | [Publicado] vol=  6 veh | vel= 40.8 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-D3               | [Publicado] vol=  5 veh | vel= 39.2 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-D3               | [Publicado] vol=  8 veh | vel= 40.4 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-D3               | [Publicado] vol=  6 veh | vel= 26.7 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-D3               | [Publicado] vol= 20 veh | vel= 18.6 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-D3               | [Publicado] vol= 16 veh | vel= 24.4 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-D3               | [Publicado] vol= 24 veh | vel= 13.7 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-D3               | [Publicado] vol=  6 veh | vel= 38.6 km/h | semáforo=ROJO
2026-04-06T12:23:25 | INFO     | CAM-D3               | [Publicado] vol= 17 veh | vel= 25.3 km/h | semáforo=ROJO
2026-04-06T12:23:30 | INFO     | CAM-D3               | [Publicado] vol= 17 veh | vel= 23.2 km/h | semáforo=ROJO
2026-04-06T12:23:35 | INFO     | CAM-D3               | [Publicado] vol=  4 veh | vel= 31.1 km/h | semáforo=VERDE
2026-04-06T12:23:40 | INFO     | CAM-D3               | [Publicado] vol=  0 veh | vel= 47.7 km/h | semáforo=VERDE
2026-04-06T12:23:45 | INFO     | CAM-D3               | [Publicado] vol=  7 veh | vel= 47.4 km/h | semáforo=VERDE
2026-04-06T12:23:50 | INFO     | CAM-D3               | [Publicado] vol=  5 veh | vel= 28.9 km/h | semáforo=VERDE
2026-04-06T12:23:55 | INFO     | CAM-D3               | [Publicado] vol=  2 veh | vel= 32.0 km/h | semáforo=VERDE
2026-04-06T12:24:00 | INFO     | CAM-D3               | [Publicado] vol=  2 veh | vel= 40.8 km/h | semáforo=VERDE
2026-04-06T12:24:05 | INFO     | CAM-D3               | [Publicado] vol= 12 veh | vel= 30.8 km/h | semáforo=ROJO
2026-04-06T12:24:10 | INFO     | CAM-D3               | [Publicado] vol= 17 veh | vel= 22.8 km/h | semáforo=ROJO
2026-04-06T12:24:15 | INFO     | CAM-D3               | [Publicado] vol= 22 veh | vel= 16.6 km/h | semáforo=ROJO
