2026-04-06T12:22:10 | INFO     | GPS-B2               | Sensor iniciado | intersección=INT-B2 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-B2               | [Publicado] velocidad= 25.2 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-B2               | [Publicado] velocidad= 30.3 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-B2               | [Publicado] velocidad=  9.9 km/h | nivel=ALTA
2026-04-06T12:22:40 | INFO     | GPS-B2               | [Publicado] velocidad= 21.4 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-B2               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-B2               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-B2               | [Publicado] velocidad= 13.8 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-B2               | [Publicado] velocidad= 12.9 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-B2               | [Publicado] velocidad= 16.8 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-B2               | [Publicado] velocidad= 25.8 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-B2               | [Publicado] velocidad= 12.2 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-B2               | [Publicado] velocidad= 24.7 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-B2               | [Publicado] velocidad= 26.1 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-B2               | [Publicado] velocidad= 21.6 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-B2               | [Publicado] velocidad= 32.9 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-B2               | [Publicado] velocidad= 29.3 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-B2               | [Publicado] velocidad= 25.6 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-B2               | [Publicado] velocidad= 11.8 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-B2               | [Publicado] velocidad= 33.5 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-B2               | [Publicado] velocidad= 18.2 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-B2               | [Publicado] velocidad= 28.2 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-B2               | [Publicado] velocidad= 26.0 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-B2               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-B2               | [Publicado] velocidad= 34.3 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-B2               | [Publicado] velocidad= 22.6 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-B2               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-B2               | [Publicado] velocidad= 33.5 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-B2               | [Publicado] velocidad= 22.8 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-B2               | [Publicado] velocidad= 16.4 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-B2               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-B2               | [Publicado] velocidad= 39.6 km/h | nivel=BAJA
2026-04-06T12:27:20 | INFO     | GPS-B2               | [Publicado] velocidad=  9.0 km/h | nivel=ALTA
2026-04-06T12:27:30 | INFO     | GPS-B2               | [Publicado] velocidad= 45.9 km/h | nivel=BAJA
2026-04-06T12:27:40 | INFO     | GPS-B2               | [Publicado] velocidad= 31.3 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-B2               | [Publicado] velocidad= 23.8 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-B2               | [Publicado] velocidad= 23.0 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-B2               | [Publicado] velocidad= 28.6 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-B2               | [Publicado] velocidad= 31.4 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-B2               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-B2               | [Publicado] velocidad= 23.8 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-B2               | [Publicado] velocidad= 42.7 km/h | nivel=BAJA
2026-04-06T12:29:00 | INFO     | GPS-B2               | [Publicado] velocidad= 32.7 km/h | nivel=NORMAL
2026-04-06T12:29:10 | INFO     | GPS-B2               | [Publicado] velocidad= 15.6 km/h | nivel=NORMAL
2026-04-06T12:29:20 | INFO     | GPS-B2               | [Publicado] velocidad= 39.4 km/h | nivel=BAJA
2026-04-06T12:29:30 | INFO     | GPS-B2               | [Publicado] velocidad= 32.9 km/h | nivel=NORMAL
2026-04-06T12:29:40 | INFO     | GPS-B2               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:29:50 | INFO     | GPS-B2               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:30:00 | INFO     | GPS-B2               | [Publicado] velocidad= 20.2 km/h | nivel=NORMAL
2026-04-06T12:30:10 | INFO     | GPS-B2               | [Publicado] velocidad= 32.8 km/h | nivel=NORMAL
2026-04-06T12:30:20 | INFO     | GPS-B2               | [Publicado] velocidad= 38.0 km/h | nivel=NORMAL
2026-04-06T12:30:30 | INFO     | GPS-B2               | [Publicado] velocidad= 28.3 km/h | nivel=NORMAL
2026-04-06T12:30:40 | INFO     | GPS-B2               | [Publicado] velocidad= 30.0 km/h | nivel=NORMAL
2026-04-06T12:30:50 | INFO     | GPS-B2               | [Publicado] velocidad= 12.7 km/h | nivel=NORMAL
2026-04-06T12:31:00 | INFO     | GPS-B2               | [Publicado] velocidad=  7.9 km/h | nivel=ALTA
2026-04-06T12:31:10 | INFO     | GPS-B2               | [Publicado] velocidad= 24.8 km/h | nivel=NORMAL
2026-04-06T12:31:20 | INFO     | GPS-B2               | [Publicado] velocidad= 31.4 km/h | nivel=NORMAL
2026-04-06T12:31:30 | INFO     | GPS-B2               | [Publicado] velocidad= 31.2 km/h | nivel=NORMAL
2026-04-06T12:31:40 | INFO     | GPS-B2               | [Publicado] velocidad= 44.5 km/h | nivel=BAJA
2026-04-06T12:31:50 | INFO     | GPS-B2               | [Publicado] velocidad= 31.2 km/h | nivel=NORMAL
2026-04-06T12:32:00 | INFO     | GPS-B2               | [Publicado] velocidad= 34.7 km/h | nivel=NORMAL
2026-04-06T12:32:10 | INFO     | GPS-B2               | [Publicado] velocidad= 36.8 km/h | nivel=NORMAL
2026-04-06T12:32:20 | INFO     | GPS-B2               | [Publicado] velocidad= 11.4 km/h | nivel=NORMAL
2026-04-06T12:32:30 | INFO     | GPS-B2               | [Publicado] velocidad= 26.7 km/h | nivel=NORMAL
2026-04-06T12:32:40 | INFO     | GPS-B2               | [Publicado] velocidad= 30.7 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-B2               | [Publicado] velocidad= 40.4 km/h | nivel=BAJA
2026-04-06T12:33:01 | INFO     | GPS-B2               | [Publicado] velocidad= 17.0 km/h | nivel=NORMAL
2026-04-06T12:33:11 | INFO     | GPS-B2               | [Publicado] velocidad= 24.3 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-B2               | [Publicado] velocidad= 10.0 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-B2               | [Publicado] velocidad= 20.4 km/h | nivel=NORMAL
2026-04-06T12:33:41 | INFO     | GPS-B2               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-B2               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-B2               | [Publicado] velocidad= 19.6 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-B2               | [Publicado] velocidad= 40.3 km/h | nivel=BAJA
2026-04-06T12:34:21 | INFO     | GPS-B2               | [Publicado] velocidad= 30.9 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-B2               | [Publicado] velocidad= 26.8 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-B2               | [Publicado] velocidad= 23.0 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-B2               | [Publicado] velocidad= 42.6 km/h | nivel=BAJA
2026-04-06T12:35:01 | INFO     | GPS-B2               | [Publicado] velocidad= 18.1 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-B2               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-B2               | [Publicado] velocidad= 30.6 km/h | nivel=NORMAL
2026-04-06T12:35:31 | INFO     | GPS-B2               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
2026-04-06T12:35:41 | INFO     | GPS-B2               | [Publicado] velocidad= 27.6 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-B2               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-B2               | [Publicado] velocidad= 40.0 km/h | nivel=BAJA
2026-04-06T12:36:11 | INFO     | GPS-B2               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:36:21 | INFO     | GPS-B2               | [Publicado] velocidad= 18.0 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-B2               | [Publicado] velocidad= 42.8 km/h | nivel=BAJA
2026-04-06T12:36:41 | INFO     | GPS-B2               | [Publicado] velocidad= 26.8 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-B2               | [Publicado] velocidad= 33.9 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-B2               | [Publicado] velocidad= 34.0 km/h | nivel=NORMAL
2026-04-06T12:37:11 | INFO     | GPS-B2               | [Publicado] velocidad= 36.3 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-B2               | [Publicado] velocidad= 26.7 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-B2               | [Publicado] velocidad= 17.3 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-B2               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-B2               | [Publicado] velocidad= 38.7 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-B2               | [Publicado] velocidad= 23.2 km/h | nivel=NORMAL
2026-04-06T12:38:11 | INFO     | GPS-B2               | [Publicado] velocidad= 32.4 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-B2               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-B2               | [Publicado] velocidad= 21.4 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-B2               | [Publicado] velocidad= 12.9 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-B2               | [Publicado] velocidad= 34.9 km/h | nivel=NORMAL
2026-04-06T12:39:01 | INFO     | GPS-B2               | [Publicado] velocidad= 42.3 km/h | nivel=BAJA
2026-04-06T12:39:11 | INFO     | GPS-B2               | [Publicado] velocidad= 16.6 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-B2               | [Publicado] velocidad= 19.5 km/h | nivel=NORMAL
2026-04-06T12:39:31 | INFO     | GPS-B2               | [Publicado] velocidad= 29.9 km/h | nivel=NORMAL
2026-04-06T12:39:41 | INFO     | GPS-B2               | [Publicado] velocidad= 19.5 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-B2               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:40:01 | INFO     | GPS-B2               | [Publicado] velocidad= 15.5 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-B2               | [Publicado] velocidad= 14.0 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-B2               | [Publicado] velocidad= 31.2 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-B2               | [Publicado] velocidad= 37.6 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-B2               | [Publicado] velocidad= 22.9 km/h | nivel=NORMAL
2026-04-06T12:40:51 | INFO     | GPS-B2               | [Publicado] velocidad= 45.6 km/h | nivel=BAJA
2026-04-06T12:41:01 | INFO     | GPS-B2               | [Publicado] velocidad= 46.6 km/h | nivel=BAJA
2026-04-06T12:41:11 | INFO     | GPS-B2               | [Publicado] velocidad= 33.2 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-B2               | [Publicado] velocidad= 27.7 km/h | nivel=NORMAL
2026-04-06T12:41:31 | INFO     | GPS-B2               | [Publicado] velocidad= 29.5 km/h | nivel=NORMAL
