2026-04-06T12:22:10 | INFO     | GPS-E2               | Sensor iniciado | intersección=INT-E2 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-E2               | [Publicado] velocidad= 31.3 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-E2               | [Publicado] velocidad= 34.2 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-E2               | [Publicado] velocidad= 42.4 km/h | nivel=BAJA
2026-04-06T12:22:40 | INFO     | GPS-E2               | [Publicado] velocidad= 42.2 km/h | nivel=BAJA
2026-04-06T12:22:50 | INFO     | GPS-E2               | [Publicado] velocidad= 26.9 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-E2               | [Publicado] velocidad= 19.4 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-E2               | [Publicado] velocidad= 26.4 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-E2               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-E2               | [Publicado] velocidad= 41.4 km/h | nivel=BAJA
2026-04-06T12:23:40 | INFO     | GPS-E2               | [Publicado] velocidad= 42.2 km/h | nivel=BAJA
2026-04-06T12:23:50 | INFO     | GPS-E2               | [Publicado] velocidad= 17.1 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-E2               | [Publicado] velocidad= 21.5 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-E2               | [Publicado] velocidad= 17.8 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-E2               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-E2               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-E2               | [Publicado] velocidad= 38.4 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-E2               | [Publicado] velocidad= 21.8 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-E2               | [Publicado] velocidad= 17.5 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-E2               | [Publicado] velocidad= 33.2 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-E2               | [Publicado] velocidad= 25.5 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-E2               | [Publicado] velocidad= 19.6 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-E2               | [Publicado] velocidad= 25.3 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-E2               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-E2               | [Publicado] velocidad= 32.3 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-E2               | [Publicado] velocidad= 30.4 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-E2               | [Publicado] velocidad= 22.4 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-E2               | [Publicado] velocidad= 31.8 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-E2               | [Publicado] velocidad= 18.6 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-E2               | [Publicado] velocidad= 20.4 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-E2               | [Publicado] velocidad= 23.9 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-E2               | [Publicado] velocidad= 34.3 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-E2               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-E2               | [Publicado] velocidad= 23.2 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-E2               | [Publicado] velocidad=  8.6 km/h | nivel=ALTA
2026-04-06T12:27:50 | INFO     | GPS-E2               | [Publicado] velocidad= 18.4 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-E2               | [Publicado] velocidad= 30.4 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-E2               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-E2               | [Publicado] velocidad= 47.2 km/h | nivel=BAJA
2026-04-06T12:28:30 | INFO     | GPS-E2               | [Publicado] velocidad= 40.8 km/h | nivel=BAJA
2026-04-06T12:28:41 | INFO     | GPS-E2               | [Publicado] velocidad= 39.4 km/h | nivel=BAJA
2026-04-06T12:28:51 | INFO     | GPS-E2               | [Publicado] velocidad= 23.5 km/h | nivel=NORMAL
2026-04-06T12:29:01 | INFO     | GPS-E2               | [Publicado] velocidad= 39.6 km/h | nivel=BAJA
2026-04-06T12:29:11 | INFO     | GPS-E2               | [Publicado] velocidad= 30.8 km/h | nivel=NORMAL
2026-04-06T12:29:21 | INFO     | GPS-E2               | [Publicado] velocidad= 20.1 km/h | nivel=NORMAL
2026-04-06T12:29:31 | INFO     | GPS-E2               | [Publicado] velocidad= 16.2 km/h | nivel=NORMAL
2026-04-06T12:29:41 | INFO     | GPS-E2               | [Publicado] velocidad= 39.4 km/h | nivel=BAJA
2026-04-06T12:29:51 | INFO     | GPS-E2               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:30:01 | INFO     | GPS-E2               | [Publicado] velocidad= 21.8 km/h | nivel=NORMAL
2026-04-06T12:30:11 | INFO     | GPS-E2               | [Publicado] velocidad= 17.1 km/h | nivel=NORMAL
2026-04-06T12:30:21 | INFO     | GPS-E2               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:30:31 | INFO     | GPS-E2               | [Publicado] velocidad= 22.1 km/h | nivel=NORMAL
2026-04-06T12:30:41 | INFO     | GPS-E2               | [Publicado] velocidad= 16.3 km/h | nivel=NORMAL
2026-04-06T12:30:51 | INFO     | GPS-E2               | [Publicado] velocidad= 26.3 km/h | nivel=NORMAL
2026-04-06T12:31:01 | INFO     | GPS-E2               | [Publicado] velocidad= 38.9 km/h | nivel=NORMAL
2026-04-06T12:31:11 | INFO     | GPS-E2               | [Publicado] velocidad= 42.2 km/h | nivel=BAJA
2026-04-06T12:31:21 | INFO     | GPS-E2               | [Publicado] velocidad= 16.6 km/h | nivel=NORMAL
2026-04-06T12:31:31 | INFO     | GPS-E2               | [Publicado] velocidad= 23.7 km/h | nivel=NORMAL
2026-04-06T12:31:41 | INFO     | GPS-E2               | [Publicado] velocidad= 17.2 km/h | nivel=NORMAL
2026-04-06T12:31:51 | INFO     | GPS-E2               | [Publicado] velocidad= 47.0 km/h | nivel=BAJA
2026-04-06T12:32:01 | INFO     | GPS-E2               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:32:11 | INFO     | GPS-E2               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:32:21 | INFO     | GPS-E2               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:32:31 | INFO     | GPS-E2               | [Publicado] velocidad= 23.3 km/h | nivel=NORMAL
2026-04-06T12:32:41 | INFO     | GPS-E2               | [Publicado] velocidad= 17.2 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-E2               | [Publicado] velocidad= 41.3 km/h | nivel=BAJA
2026-04-06T12:33:01 | INFO     | GPS-E2               | [Publicado] velocidad=  5.1 km/h | nivel=ALTA
2026-04-06T12:33:11 | INFO     | GPS-E2               | [Publicado] velocidad= 20.9 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-E2               | [Publicado] velocidad= 26.3 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-E2               | [Publicado] velocidad= 48.3 km/h | nivel=BAJA
2026-04-06T12:33:41 | INFO     | GPS-E2               | [Publicado] velocidad= 36.8 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-E2               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-E2               | [Publicado] velocidad= 18.9 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-E2               | [Publicado] velocidad= 32.2 km/h | nivel=NORMAL
2026-04-06T12:34:21 | INFO     | GPS-E2               | [Publicado] velocidad= 23.4 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-E2               | [Publicado] velocidad= 42.1 km/h | nivel=BAJA
2026-04-06T12:34:41 | INFO     | GPS-E2               | [Publicado] velocidad= 34.2 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-E2               | [Publicado] velocidad= 39.0 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-E2               | [Publicado] velocidad= 18.5 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-E2               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-E2               | [Publicado] velocidad= 25.2 km/h | nivel=NORMAL
2026-04-06T12:35:31 | INFO     | GPS-E2               | [Publicado] velocidad= 12.8 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-E2               | [Publicado] velocidad= 37.1 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-E2               | [Publicado] velocidad= 17.9 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-E2               | [Publicado] velocidad= 21.7 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-E2               | [Publicado] velocidad= 41.6 km/h | nivel=BAJA
2026-04-06T12:36:21 | INFO     | GPS-E2               | [Publicado] velocidad= 29.4 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-E2               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
2026-04-06T12:36:41 | INFO     | GPS-E2               | [Publicado] velocidad= 21.3 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-E2               | [Publicado] velocidad= 39.6 km/h | nivel=BAJA
2026-04-06T12:37:01 | INFO     | GPS-E2               | [Publicado] velocidad= 27.5 km/h | nivel=NORMAL
2026-04-06T12:37:11 | INFO     | GPS-E2               | [Publicado] velocidad= 29.7 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-E2               | [Publicado] velocidad= 29.7 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-E2               | [Publicado] velocidad= 30.6 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-E2               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-E2               | [Publicado] velocidad= 26.7 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-E2               | [Publicado] velocidad= 39.5 km/h | nivel=BAJA
2026-04-06T12:38:11 | INFO     | GPS-E2               | [Publicado] velocidad= 21.4 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-E2               | [Publicado] velocidad= 26.8 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-E2               | [Publicado] velocidad= 30.6 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-E2               | [Publicado] velocidad= 28.4 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-E2               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:39:01 | INFO     | GPS-E2               | [Publicado] velocidad= 34.8 km/h | nivel=NORMAL
2026-04-06T12:39:11 | INFO     | GPS-E2               | [Publicado] velocidad= 16.3 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-E2               | [Publicado] velocidad= 20.8 km/h | nivel=NORMAL
2026-04-06T12:39:31 | INFO     | GPS-E2               | [Publicado] velocidad= 40.9 km/h | nivel=BAJA
2026-04-06T12:39:41 | INFO     | GPS-E2               | [Publicado] velocidad= 37.9 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-E2               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:40:01 | INFO     | GPS-E2               | [Publicado] velocidad= 36.1 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-E2               | [Publicado] velocidad= 19.5 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-E2               | [Publicado] velocidad= 36.9 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-E2               | [Publicado] velocidad= 30.3 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-E2               | [Publicado] velocidad= 44.7 km/h | nivel=BAJA
2026-04-06T12:40:51 | INFO     | GPS-E2               | [Publicado] velocidad= 35.2 km/h | nivel=NORMAL
2026-04-06T12:41:01 | INFO     | GPS-E2               | [Publicado] velocidad= 15.7 km/h | nivel=NORMAL
2026-04-06T12:41:11 | INFO     | GPS-E2               | [Publicado] velocidad= 32.3 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-E2               | [Publicado] velocidad= 40.5 km/h | nivel=BAJA
2026-04-06T12:41:31 | INFO     | GPS-E2               | [Publicado] velocidad= 17.6 km/h | nivel=NORMAL
