2026-04-06T12:22:10 | INFO     | CAM-A4               | Sensor iniciado | intersección=INT-A4 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-A4               | [Publicado] vol= 24 veh | vel= 11.1 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-A4               | [Publicado] vol= 19 veh | vel= 23.3 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-A4               | [Publicado] vol= 20 veh | vel= 21.1 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-A4               | [Publicado] vol= 17 veh | vel= 25.2 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-A4               | [Publicado] vol=  3 veh | vel= 44.0 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-A4               | [Publicado] vol=  7 veh | vel= 46.5 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 48.5 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-A4               | [Publicado] vol=  8 veh | vel= 46.6 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-A4               | [Publicado] vol=  1 veh | vel= 41.4 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-A4               | [Publicado] vol=  5 veh | vel= 32.6 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-A4               | [Publicado] vol=  8 veh | vel= 48.5 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-A4               | [Publicado] vol= 25 veh | vel= 12.7 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-A4               | [Publicado] vol= 21 veh | vel= 19.1 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-A4               | [Publicado] vol=  0 veh | vel= 52.9 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-A4               | [Publicado] vol= 14 veh | vel= 31.1 km/h | semáforo=ROJO
2026-04-06T12:23:25 | INFO     | CAM-A4               | [Publicado] vol= 20 veh | vel= 18.6 km/h | semáforo=ROJO
2026-04-06T12:23:30 | INFO     | CAM-A4               | [Publicado] vol=  5 veh | vel= 42.2 km/h | semáforo=ROJO
2026-04-06T12:23:35 | INFO     | CAM-A4               | [Publicado] vol=  5 veh | vel= 36.1 km/h | semáforo=VERDE
2026-04-06T12:23:40 | INFO     | CAM-A4               | [Publicado] vol=  1 veh | vel= 26.4 km/h | semáforo=VERDE
2026-04-06T12:23:45 | INFO     | CAM-A4               | [Publicado] vol=  7 veh | vel= 40.4 km/h | semáforo=VERDE
2026-04-06T12:23:50 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 49.2 km/h | semáforo=VERDE
2026-04-06T12:23:55 | INFO     | CAM-A4               | [Publicado] vol=  7 veh | vel= 26.0 km/h | semáforo=VERDE
2026-04-06T12:24:00 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 45.1 km/h | semáforo=VERDE
2026-04-06T12:24:05 | INFO     | CAM-A4               | [Publicado] vol= 17 veh | vel= 24.0 km/h | semáforo=ROJO
2026-04-06T12:24:10 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 43.4 km/h | semáforo=ROJO
2026-04-06T12:24:15 | INFO     | CAM-A4               | [Publicado] vol= 17 veh | vel= 21.5 km/h | semáforo=ROJO
2026-04-06T12:24:20 | INFO     | CAM-A4               | [Publicado] vol=  3 veh | vel= 46.6 km/h | semáforo=ROJO
2026-04-06T12:24:25 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 41.7 km/h | semáforo=ROJO
2026-04-06T12:24:30 | INFO     | CAM-A4               | [Publicado] vol= 21 veh | vel= 17.4 km/h | semáforo=ROJO
2026-04-06T12:24:35 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 32.7 km/h | semáforo=VERDE
2026-04-06T12:24:40 | INFO     | CAM-A4               | [Publicado] vol=  7 veh | vel= 31.8 km/h | semáforo=VERDE
2026-04-06T12:24:45 | INFO     | CAM-A4               | [Publicado] vol=  4 veh | vel= 31.4 km/h | semáforo=VERDE
2026-04-06T12:24:50 | INFO     | CAM-A4               | [Publicado] vol=  3 veh | vel= 42.9 km/h | semáforo=VERDE
2026-04-06T12:24:55 | INFO     | CAM-A4               | [Publicado] vol=  6 veh | vel= 46.9 km/h | semáforo=VERDE
2026-04-06T12:25:00 | INFO     | CAM-A4               | [Publicado] vol=  2 veh | vel= 29.2 km/h | semáforo=VERDE
2026-04-06T12:25:05 | INFO     | CAM-A4               | [Publicado] vol= 20 veh | vel= 17.3 km/h | semáforo=ROJO
2026-04-06T12:25:10 | INFO     | CAM-A4               | [Publicado] vol= 16 veh | vel= 27.2 km/h | semáforo=ROJO
2026-04-06T12:25:15 | INFO     | CAM-A4               | [Publicado] vol= 13 veh | vel= 31.6 km/h | semáforo=ROJO
2026-04-06T12:25:20 | INFO     | CAM-A4               | [Publicado] vol=  9 veh | vel= 34.3 km/h | semáforo=ROJO
2026-04-06T12:25:25 | INFO     | CAM-A4               | [Publicado] vol=  9 veh | vel= 36.1 km/h | semáforo=ROJO
2026-04-06T12:25:30 | INFO     | CAM-A4               | [Publicado] vol= 15 veh | vel= 29.2 km/h | semáforo=ROJO
2026-04-06T12:25:35 | INFO     | CAM-A4               | [Publicado] vol=  8 veh | vel= 32.3 km/h | semáforo=VERDE
2026-04-06T12:25:40 | INFO     | CAM-A4               | [Publicado] vol=  5 veh | vel= 35.1 km/h | semáforo=VERDE
2026-04-06T12:25:45 | INFO     | CAM-A4               | [Publicado] vol=  1 veh | vel= 42.4 km/h | semáforo=VERDE
