2026-04-06T12:22:10 | INFO     | GPS-C3               | Sensor iniciado | intersección=INT-C3 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-C3               | [Publicado] velocidad= 22.0 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-C3               | [Publicado] velocidad= 37.8 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-C3               | [Publicado] velocidad= 36.0 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-C3               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-C3               | [Publicado] velocidad= 30.6 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-C3               | [Publicado] velocidad= 17.8 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-C3               | [Publicado] velocidad= 40.5 km/h | nivel=BAJA
2026-04-06T12:23:20 | INFO     | GPS-C3               | [Publicado] velocidad= 16.0 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-C3               | [Publicado] velocidad=  5.6 km/h | nivel=ALTA
2026-04-06T12:23:40 | INFO     | GPS-C3               | [Publicado] velocidad= 21.0 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-C3               | [Publicado] velocidad= 42.8 km/h | nivel=BAJA
2026-04-06T12:24:00 | INFO     | GPS-C3               | [Publicado] velocidad= 42.4 km/h | nivel=BAJA
2026-04-06T12:24:10 | INFO     | GPS-C3               | [Publicado] velocidad= 39.2 km/h | nivel=BAJA
2026-04-06T12:24:20 | INFO     | GPS-C3               | [Publicado] velocidad= 29.7 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-C3               | [Publicado] velocidad= 43.1 km/h | nivel=BAJA
2026-04-06T12:24:40 | INFO     | GPS-C3               | [Publicado] velocidad= 32.3 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-C3               | [Publicado] velocidad= 15.4 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-C3               | [Publicado] velocidad= 12.0 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-C3               | [Publicado] velocidad= 28.4 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-C3               | [Publicado] velocidad= 17.2 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-C3               | [Publicado] velocidad= 10.8 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-C3               | [Publicado] velocidad= 36.7 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-C3               | [Publicado] velocidad= 11.0 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-C3               | [Publicado] velocidad= 31.8 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-C3               | [Publicado] velocidad= 39.6 km/h | nivel=BAJA
2026-04-06T12:26:20 | INFO     | GPS-C3               | [Publicado] velocidad= 14.8 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-C3               | [Publicado] velocidad= 33.1 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-C3               | [Publicado] velocidad= 14.3 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-C3               | [Publicado] velocidad= 39.4 km/h | nivel=BAJA
2026-04-06T12:27:00 | INFO     | GPS-C3               | [Publicado] velocidad= 10.3 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-C3               | [Publicado] velocidad= 21.3 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-C3               | [Publicado] velocidad= 21.5 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-C3               | [Publicado] velocidad= 33.3 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-C3               | [Publicado] velocidad= 19.9 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-C3               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-C3               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-C3               | [Publicado] velocidad= 31.2 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-C3               | [Publicado] velocidad= 26.3 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-C3               | [Publicado] velocidad= 11.7 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-C3               | [Publicado] velocidad= 34.8 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-C3               | [Publicado] velocidad= 29.3 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-C3               | [Publicado] velocidad= 25.7 km/h | nivel=NORMAL
2026-04-06T12:29:10 | INFO     | GPS-C3               | [Publicado] velocidad= 15.4 km/h | nivel=NORMAL
2026-04-06T12:29:20 | INFO     | GPS-C3               | [Publicado] velocidad= 21.8 km/h | nivel=NORMAL
2026-04-06T12:29:30 | INFO     | GPS-C3               | [Publicado] velocidad= 20.4 km/h | nivel=NORMAL
