2026-04-06T12:22:10 | INFO     | GPS-A4               | Sensor iniciado | intersección=INT-A4 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-A4               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-A4               | [Publicado] velocidad= 17.6 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-A4               | [Publicado] velocidad= 35.2 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-A4               | [Publicado] velocidad= 40.1 km/h | nivel=BAJA
2026-04-06T12:22:50 | INFO     | GPS-A4               | [Publicado] velocidad= 28.7 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-A4               | [Publicado] velocidad= 34.7 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-A4               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-A4               | [Publicado] velocidad= 18.2 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-A4               | [Publicado] velocidad= 29.1 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-A4               | [Publicado] velocidad= 29.1 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-A4               | [Publicado] velocidad= 23.4 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-A4               | [Publicado] velocidad= 26.8 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-A4               | [Publicado] velocidad= 36.2 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-A4               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-A4               | [Publicado] velocidad= 23.4 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-A4               | [Publicado] velocidad= 40.2 km/h | nivel=BAJA
2026-04-06T12:24:50 | INFO     | GPS-A4               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-A4               | [Publicado] velocidad= 13.6 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-A4               | [Publicado] velocidad= 34.5 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-A4               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-A4               | [Publicado] velocidad= 36.3 km/h | nivel=NORMAL
