2026-04-06T12:22:10 | INFO     | GPS-E3               | Sensor iniciado | intersección=INT-E3 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-E3               | [Publicado] velocidad= 21.7 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-E3               | [Publicado] velocidad= 17.9 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-E3               | [Publicado] velocidad= 14.2 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-E3               | [Publicado] velocidad= 29.5 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-E3               | [Publicado] velocidad= 11.5 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-E3               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-E3               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-E3               | [Publicado] velocidad= 29.4 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-E3               | [Publicado] velocidad= 33.1 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-E3               | [Publicado] velocidad= 46.2 km/h | nivel=BAJA
2026-04-06T12:23:50 | INFO     | GPS-E3               | [Publicado] velocidad= 27.3 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-E3               | [Publicado] velocidad= 42.0 km/h | nivel=BAJA
2026-04-06T12:24:10 | INFO     | GPS-E3               | [Publicado] velocidad= 32.8 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-E3               | [Publicado] velocidad= 20.5 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-E3               | [Publicado] velocidad= 45.1 km/h | nivel=BAJA
2026-04-06T12:24:40 | INFO     | GPS-E3               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-E3               | [Publicado] velocidad= 35.8 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-E3               | [Publicado] velocidad= 12.8 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-E3               | [Publicado] velocidad= 37.0 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-E3               | [Publicado] velocidad= 14.3 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-E3               | [Publicado] velocidad= 32.9 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-E3               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-E3               | [Publicado] velocidad= 15.2 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-E3               | [Publicado] velocidad= 38.6 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-E3               | [Publicado] velocidad= 43.3 km/h | nivel=BAJA
2026-04-06T12:26:20 | INFO     | GPS-E3               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
