2026-04-06T12:22:10 | INFO     | GPS-D3               | Sensor iniciado | intersección=INT-D3 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-D3               | [Publicado] velocidad= 12.1 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-D3               | [Publicado] velocidad= 33.1 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-D3               | [Publicado] velocidad= 12.5 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-D3               | [Publicado] velocidad= 27.9 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-D3               | [Publicado] velocidad= 29.6 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-D3               | [Publicado] velocidad= 17.5 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-D3               | [Publicado] velocidad= 16.4 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-D3               | [Publicado] velocidad= 12.1 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-D3               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-D3               | [Publicado] velocidad= 28.6 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-D3               | [Publicado] velocidad= 17.2 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-D3               | [Publicado] velocidad= 33.3 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-D3               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-D3               | [Publicado] velocidad= 32.1 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-D3               | [Publicado] velocidad= 30.0 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-D3               | [Publicado] velocidad= 24.0 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-D3               | [Publicado] velocidad= 38.9 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-D3               | [Publicado] velocidad= 28.6 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-D3               | [Publicado] velocidad= 38.6 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-D3               | [Publicado] velocidad= 29.4 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-D3               | [Publicado] velocidad= 21.9 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-D3               | [Publicado] velocidad= 30.2 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-D3               | [Publicado] velocidad= 14.2 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-D3               | [Publicado] velocidad= 36.9 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-D3               | [Publicado] velocidad= 34.8 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-D3               | [Publicado] velocidad= 42.2 km/h | nivel=BAJA
2026-04-06T12:26:30 | INFO     | GPS-D3               | [Publicado] velocidad= 30.6 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-D3               | [Publicado] velocidad= 18.5 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-D3               | [Publicado] velocidad= 15.6 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-D3               | [Publicado] velocidad= 27.9 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-D3               | [Publicado] velocidad= 20.3 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-D3               | [Publicado] velocidad= 20.6 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-D3               | [Publicado] velocidad= 32.8 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-D3               | [Publicado] velocidad= 34.6 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-D3               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-D3               | [Publicado] velocidad= 21.6 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-D3               | [Publicado] velocidad=  5.5 km/h | nivel=ALTA
2026-04-06T12:28:20 | INFO     | GPS-D3               | [Publicado] velocidad= 28.2 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-D3               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-D3               | [Publicado] velocidad= 31.2 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-D3               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-D3               | [Publicado] velocidad= 16.6 km/h | nivel=NORMAL
2026-04-06T12:29:10 | INFO     | GPS-D3               | [Publicado] velocidad= 36.3 km/h | nivel=NORMAL
2026-04-06T12:29:20 | INFO     | GPS-D3               | [Publicado] velocidad= 40.4 km/h | nivel=BAJA
2026-04-06T12:29:30 | INFO     | GPS-D3               | [Publicado] velocidad= 35.6 km/h | nivel=NORMAL
2026-04-06T12:29:40 | INFO     | GPS-D3               | [Publicado] velocidad= 20.1 km/h | nivel=NORMAL
2026-04-06T12:29:50 | INFO     | GPS-D3               | [Publicado] velocidad= 27.7 km/h | nivel=NORMAL
2026-04-06T12:30:00 | INFO     | GPS-D3               | [Publicado] velocidad= 33.1 km/h | nivel=NORMAL
2026-04-06T12:30:10 | INFO     | GPS-D3               | [Publicado] velocidad= 29.9 km/h | nivel=NORMAL
2026-04-06T12:30:20 | INFO     | GPS-D3               | [Publicado] velocidad= 42.8 km/h | nivel=BAJA
2026-04-06T12:30:30 | INFO     | GPS-D3               | [Publicado] velocidad=  4.7 km/h | nivel=ALTA
2026-04-06T12:30:40 | INFO     | GPS-D3               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:30:50 | INFO     | GPS-D3               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:31:00 | INFO     | GPS-D3               | [Publicado] velocidad= 22.0 km/h | nivel=NORMAL
2026-04-06T12:31:10 | INFO     | GPS-D3               | [Publicado] velocidad= 28.7 km/h | nivel=NORMAL
2026-04-06T12:31:20 | INFO     | GPS-D3               | [Publicado] velocidad= 35.8 km/h | nivel=NORMAL
2026-04-06T12:31:30 | INFO     | GPS-D3               | [Publicado] velocidad= 20.6 km/h | nivel=NORMAL
2026-04-06T12:31:40 | INFO     | GPS-D3               | [Publicado] velocidad= 20.7 km/h | nivel=NORMAL
2026-04-06T12:31:50 | INFO     | GPS-D3               | [Publicado] velocidad= 22.4 km/h | nivel=NORMAL
2026-04-06T12:32:00 | INFO     | GPS-D3               | [Publicado] velocidad= 14.0 km/h | nivel=NORMAL
2026-04-06T12:32:10 | INFO     | GPS-D3               | [Publicado] velocidad=  9.3 km/h | nivel=ALTA
2026-04-06T12:32:20 | INFO     | GPS-D3               | [Publicado] velocidad= 26.2 km/h | nivel=NORMAL
2026-04-06T12:32:30 | INFO     | GPS-D3               | [Publicado] velocidad= 19.1 km/h | nivel=NORMAL
2026-04-06T12:32:40 | INFO     | GPS-D3               | [Publicado] velocidad= 46.2 km/h | nivel=BAJA
2026-04-06T12:32:50 | INFO     | GPS-D3               | [Publicado] velocidad= 46.8 km/h | nivel=BAJA
2026-04-06T12:33:00 | INFO     | GPS-D3               | [Publicado] velocidad= 10.7 km/h | nivel=NORMAL
2026-04-06T12:33:10 | INFO     | GPS-D3               | [Publicado] velocidad= 15.2 km/h | nivel=NORMAL
2026-04-06T12:33:20 | INFO     | GPS-D3               | [Publicado] velocidad= 16.4 km/h | nivel=NORMAL
2026-04-06T12:33:30 | INFO     | GPS-D3               | [Publicado] velocidad= 31.9 km/h | nivel=NORMAL
2026-04-06T12:33:40 | INFO     | GPS-D3               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:33:50 | INFO     | GPS-D3               | [Publicado] velocidad= 33.3 km/h | nivel=NORMAL
2026-04-06T12:34:00 | INFO     | GPS-D3               | [Publicado] velocidad= 19.6 km/h | nivel=NORMAL
2026-04-06T12:34:10 | INFO     | GPS-D3               | [Publicado] velocidad= 17.7 km/h | nivel=NORMAL
2026-04-06T12:34:21 | INFO     | GPS-D3               | [Publicado] velocidad= 24.5 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-D3               | [Publicado] velocidad= 10.8 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-D3               | [Publicado] velocidad= 13.4 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-D3               | [Publicado] velocidad= 22.0 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-D3               | [Publicado] velocidad= 22.4 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-D3               | [Publicado] velocidad= 35.9 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-D3               | [Publicado] velocidad= 36.5 km/h | nivel=NORMAL
2026-04-06T12:35:31 | INFO     | GPS-D3               | [Publicado] velocidad= 18.9 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-D3               | [Publicado] velocidad= 22.6 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-D3               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:36:01 | INFO     | GPS-D3               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:36:11 | INFO     | GPS-D3               | [Publicado] velocidad= 10.6 km/h | nivel=NORMAL
2026-04-06T12:36:21 | INFO     | GPS-D3               | [Publicado] velocidad= 32.2 km/h | nivel=NORMAL
2026-04-06T12:36:31 | INFO     | GPS-D3               | [Publicado] velocidad= 49.1 km/h | nivel=BAJA
2026-04-06T12:36:41 | INFO     | GPS-D3               | [Publicado] velocidad= 34.4 km/h | nivel=NORMAL
2026-04-06T12:36:51 | INFO     | GPS-D3               | [Publicado] velocidad= 11.8 km/h | nivel=NORMAL
2026-04-06T12:37:01 | INFO     | GPS-D3               | [Publicado] velocidad= 35.9 km/h | nivel=NORMAL
2026-04-06T12:37:11 | INFO     | GPS-D3               | [Publicado] velocidad= 22.3 km/h | nivel=NORMAL
2026-04-06T12:37:21 | INFO     | GPS-D3               | [Publicado] velocidad= 27.5 km/h | nivel=NORMAL
2026-04-06T12:37:31 | INFO     | GPS-D3               | [Publicado] velocidad= 10.4 km/h | nivel=NORMAL
2026-04-06T12:37:41 | INFO     | GPS-D3               | [Publicado] velocidad= 34.1 km/h | nivel=NORMAL
2026-04-06T12:37:51 | INFO     | GPS-D3               | [Publicado] velocidad= 12.8 km/h | nivel=NORMAL
2026-04-06T12:38:01 | INFO     | GPS-D3               | [Publicado] velocidad= 17.7 km/h | nivel=NORMAL
2026-04-06T12:38:11 | INFO     | GPS-D3               | [Publicado] velocidad= 19.6 km/h | nivel=NORMAL
2026-04-06T12:38:21 | INFO     | GPS-D3               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:38:31 | INFO     | GPS-D3               | [Publicado] velocidad= 33.0 km/h | nivel=NORMAL
2026-04-06T12:38:41 | INFO     | GPS-D3               | [Publicado] velocidad= 13.6 km/h | nivel=NORMAL
2026-04-06T12:38:51 | INFO     | GPS-D3               | [Publicado] velocidad= 40.3 km/h | nivel=BAJA
2026-04-06T12:39:01 | INFO     | GPS-D3               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:39:11 | INFO     | GPS-D3               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:39:21 | INFO     | GPS-D3               | [Publicado] velocidad= 27.7 km/h | nivel=NORMAL
2026-04-06T12:39:31 | INFO     | GPS-D3               | [Publicado] velocidad= 34.1 km/h | nivel=NORMAL
2026-04-06T12:39:41 | INFO     | GPS-D3               | [Publicado] velocidad= 32.9 km/h | nivel=NORMAL
2026-04-06T12:39:51 | INFO     | GPS-D3               | [Publicado] velocidad= 45.2 km/h | nivel=BAJA
2026-04-06T12:40:01 | INFO     | GPS-D3               | [Publicado] velocidad= 38.3 km/h | nivel=NORMAL
2026-04-06T12:40:11 | INFO     | GPS-D3               | [Publicado] velocidad= 29.5 km/h | nivel=NORMAL
2026-04-06T12:40:21 | INFO     | GPS-D3               | [Publicado] velocidad= 34.2 km/h | nivel=NORMAL
2026-04-06T12:40:31 | INFO     | GPS-D3               | [Publicado] velocidad= 25.8 km/h | nivel=NORMAL
2026-04-06T12:40:41 | INFO     | GPS-D3               | [Publicado] velocidad= 45.8 km/h | nivel=BAJA
2026-04-06T12:40:51 | INFO     | GPS-D3               | [Publicado] velocidad=  7.1 km/h | nivel=ALTA
2026-04-06T12:41:01 | INFO     | GPS-D3               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
2026-04-06T12:41:11 | INFO     | GPS-D3               | [Publicado] velocidad= 17.6 km/h | nivel=NORMAL
2026-04-06T12:41:21 | INFO     | GPS-D3               | [Publicado] velocidad= 31.0 km/h | nivel=NORMAL
2026-04-06T12:41:31 | INFO     | GPS-D3               | [Publicado] velocidad= 17.7 km/h | nivel=NORMAL
